replacement,hierarchy,trace,ipc
hawkeye,cache,pr-10.trace.gz,0.061688
hawkeye,cache,pr-14.trace.gz,0.0662264
hawkeye,cache,pr-3.trace.gz,0.06011
hawkeye,cache,pr-5.trace.gz,0.0623529
hawkeye,cache,sssp-10.trace.gz,0.32448
hawkeye,cache,sssp-14.trace.gz,0.324626
hawkeye,cache,sssp-3.trace.gz,0.320959
hawkeye,cache,sssp-5.trace.gz,0.322937
srrip,l3exclusive,bc-0.trace.gz,0.124101
srrip,l3exclusive,bc-12.trace.gz,0.120331
srrip,l3exclusive,bc-3.trace.gz,0.144784
srrip,l3exclusive,bc-5.trace.gz,0.192161
srrip,l3exclusive,bfs-10.trace.gz,0.262587
srrip,l3exclusive,bfs-14.trace.gz,0.280031
srrip,l3exclusive,bfs-3.trace.gz,0.273808
srrip,l3exclusive,bfs-8.trace.gz,0.279925
srrip,l3exclusive,cc-13.trace.gz,0.173862
srrip,l3exclusive,cc-14.trace.gz,0.201989
srrip,l3exclusive,cc-5.trace.gz,0.224298
srrip,l3exclusive,cc-6.trace.gz,0.164766
srrip,l3exclusive,pr-10.trace.gz,0.0494313
srrip,l3exclusive,pr-14.trace.gz,0.0509054
srrip,l3exclusive,pr-3.trace.gz,0.0487342
srrip,l3exclusive,pr-5.trace.gz,0.0495791
srrip,l3exclusive,sssp-10.trace.gz,0.29127
srrip,l3exclusive,sssp-14.trace.gz,0.291251
srrip,l3exclusive,sssp-3.trace.gz,0.288405
srrip,l3exclusive,sssp-5.trace.gz,0.290313
srrip,l3inclusive,bc-0.trace.gz,0.140582
srrip,l3inclusive,bc-12.trace.gz,0.136116
srrip,l3inclusive,bc-3.trace.gz,0.15969
srrip,l3inclusive,bc-5.trace.gz,0.218662
srrip,l3inclusive,bfs-10.trace.gz,0.267616
srrip,l3inclusive,bfs-14.trace.gz,0.292115
srrip,l3inclusive,bfs-3.trace.gz,0.280464
srrip,l3inclusive,bfs-8.trace.gz,0.292197
srrip,l3inclusive,cc-13.trace.gz,0.205029
srrip,l3inclusive,cc-14.trace.gz,0.236315
srrip,l3inclusive,cc-5.trace.gz,0.260882
srrip,l3inclusive,cc-6.trace.gz,0.194193
srrip,l3inclusive,pr-10.trace.gz,0.0625827
srrip,l3inclusive,pr-14.trace.gz,0.0665222
srrip,l3inclusive,pr-3.trace.gz,0.0608551
srrip,l3inclusive,pr-5.trace.gz,0.0629574
srrip,l3inclusive,sssp-10.trace.gz,0.329852
srrip,l3inclusive,sssp-14.trace.gz,0.330371
srrip,l3inclusive,sssp-3.trace.gz,0.327711
srrip,l3inclusive,sssp-5.trace.gz,0.329029
srrip,cache,bc-0.trace.gz,0.127615
srrip,cache,bc-12.trace.gz,0.123387
srrip,cache,bc-3.trace.gz,0.149423
srrip,cache,bc-5.trace.gz,0.201523
srrip,cache,bfs-10.trace.gz,0.261665
srrip,cache,bfs-14.trace.gz,0.279768
srrip,cache,bfs-3.trace.gz,0.272999
srrip,cache,bfs-8.trace.gz,0.280935
srrip,cache,cc-13.trace.gz,0.20239
srrip,cache,cc-14.trace.gz,0.233201
srrip,cache,cc-5.trace.gz,0.257365
srrip,cache,cc-6.trace.gz,0.19172
srrip,cache,pr-10.trace.gz,0.0624091
srrip,cache,pr-14.trace.gz,0.0662921
srrip,cache,pr-3.trace.gz,0.0606869
srrip,cache,pr-5.trace.gz,0.0627669
srrip,cache,sssp-10.trace.gz,0.314267
srrip,cache,sssp-14.trace.gz,0.314745
srrip,cache,sssp-3.trace.gz,0.310625
srrip,cache,sssp-5.trace.gz,0.313176
ship,l3exclusive,bc-0.trace.gz,0.124115
ship,l3exclusive,bc-12.trace.gz,0.120315
ship,l3exclusive,bc-3.trace.gz,0.144689
ship,l3exclusive,bc-5.trace.gz,0.192088
ship,l3exclusive,bfs-10.trace.gz,0.262726
ship,l3exclusive,bfs-14.trace.gz,0.280481
ship,l3exclusive,bfs-3.trace.gz,0.273584
ship,l3exclusive,bfs-8.trace.gz,0.280167
ship,l3exclusive,cc-13.trace.gz,0.173737
ship,l3exclusive,cc-14.trace.gz,0.201911
ship,l3exclusive,cc-5.trace.gz,0.224011
ship,l3exclusive,cc-6.trace.gz,0.164694
ship,l3exclusive,pr-10.trace.gz,0.0495517
ship,l3exclusive,pr-14.trace.gz,0.0478205
ship,l3exclusive,pr-3.trace.gz,0.0484193
ship,l3exclusive,pr-5.trace.gz,0.0509073
ship,l3exclusive,sssp-10.trace.gz,0.291154
ship,l3exclusive,sssp-14.trace.gz,0.291453
ship,l3exclusive,sssp-3.trace.gz,0.287938
ship,l3exclusive,sssp-5.trace.gz,0.29028
ship,l3inclusive,bc-0.trace.gz,0.147722
ship,l3inclusive,bc-12.trace.gz,0.142016
ship,l3inclusive,bc-3.trace.gz,0.166678
ship,l3inclusive,bc-5.trace.gz,0.222387
ship,l3inclusive,bfs-10.trace.gz,0.273746
ship,l3inclusive,bfs-14.trace.gz,0.300172
ship,l3inclusive,bfs-3.trace.gz,0.287677
ship,l3inclusive,bfs-8.trace.gz,0.300025
ship,l3inclusive,cc-13.trace.gz,0.211542
ship,l3inclusive,cc-14.trace.gz,0.243318
ship,l3inclusive,cc-5.trace.gz,0.268173
ship,l3inclusive,cc-6.trace.gz,0.200134
ship,l3inclusive,pr-10.trace.gz,0.0675394
ship,l3inclusive,pr-14.trace.gz,0.0650487
ship,l3inclusive,pr-3.trace.gz,0.0683588
ship,l3inclusive,pr-5.trace.gz,0.066289
ship,l3inclusive,sssp-10.trace.gz,0.343037
ship,l3inclusive,sssp-14.trace.gz,0.342978
ship,l3inclusive,sssp-3.trace.gz,0.34049
ship,l3inclusive,sssp-5.trace.gz,0.341622
ship,cache,bc-0.trace.gz,0.136014
ship,cache,bc-12.trace.gz,0.132286
ship,cache,bc-3.trace.gz,0.156823
